vendor_name,total_payment,projects,avg_cost,avg_risk,dataset_version
Avtar Agro Industries,1173156.0,6,195526.0,47.66,V1
Nanjibhai Devshibhai Makvana,1170209.0,2,585104.5,34.385,V1
RAGHUVANSI ENTERPRISES,1167081.0,3,389027.0,43.24666666666667,V1
Sahoo Construction,1166738.0,4,291684.5,46.505,V1
MANBEER SINGH,1164904.0,4,291226.0,46.715,V1
T Bhanumathi,1159001.0,15,77266.73333333334,54.01,V1
MOHANAN E G,1156605.0,1,1156605.0,16.15,V1
MOURIN ENTERPRISE,1138091.0,2,569045.5,34.68,V1
ALI P B,1129210.0,1,1129210.0,16.15,V1
Sanjay Goel,1126111.0,1,1126111.0,16.15,V1
Thanghuliana,1125000.0,1,1125000.0,16.15,V1
CHAUTGI UMESHA,1125000.0,1,1125000.0,16.15,V1
Bellary Nirmithi Kendra Bellary,1125000.0,1,1125000.0,16.15,V1
Sri Vinayaka Constructions,1122373.0,2,561186.5,34.614999999999995,V1
RAV INFRA,1109475.0,1,1109475.0,16.15,V1
SHAMSHAD CONTRACTOR,1104376.0,1,1104376.0,16.15,V1
RASHEED S A,1100546.0,1,1100546.0,16.15,V1
Sarv Kalyan Manch,1100000.0,1,1100000.0,16.15,V1
SEKH BASIRUDDIN,1100000.0,1,1100000.0,16.15,V1
Temsuzulu Jamir,1100000.0,1,1100000.0,16.15,V1
Digitech Electronic Systems Private Limited,1099975.0,1,1099975.0,16.15,V1
RENUKA DEVI R,1099641.0,1,1099641.0,16.15,V1
SEKARAN VENGADESAN,1099556.0,1,1099556.0,16.15,V1
R K CONSTRUCTIONS,1099545.0,1,1099545.0,16.15,V1
KR CONSTRUCTIONS,1099275.0,1,1099275.0,16.15,V1
MSS MEDITECHNO,1099108.0,1,1099108.0,16.15,V1
VIJAYA VIKRAM CONSTRUCTIONS,1097173.0,1,1097173.0,21.97,V1
MS Manzoor Builders,1096800.0,2,548400.0,34.629999999999995,V1
PRAKHYATH RAJ SHETTY,1092265.0,4,273066.25,47.0975,V1
NOUSHAD T V,1084671.0,5,216934.2,47.714,V1
RAJESH KUMAR PAL,1077000.0,1,1077000.0,16.15,V1
SAKLOO SAROJ,1071130.0,1,1071130.0,16.15,V1
KRISHNA ENTERPRISES AND SUPPLIERS,1069023.0,2,534511.5,34.120000000000005,V1
VEE ESS ENTERPRISES,1068711.0,1,1068711.0,16.15,V1
UPNEDA,1060000.0,1,1060000.0,16.15,V1
Santhiya,1059245.0,1,1059245.0,16.15,V1
